Call Id,Agent,Date,Time,Topic,Answered (Y/N),Resolved,Speed of answer in seconds,AvgTalkDuration,Satisfaction rating,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,NPS
ID0001,Diane,2021-01-01,9:12:58,Contract related,Y,Y,109.0,143.0,6.0,,,,,-100
ID0002,Becky,2021-01-01,9:12:58,Technical Support,Y,N,70.0,242.0,6.0,,,,,-100
ID0003,Stewart,2021-01-01,9:47:31,Contract related,Y,Y,10.0,131.0,6.0,,,,,-100
ID0004,Greg,2021-01-01,9:47:31,Contract related,Y,Y,53.0,37.0,4.0,,,,,-100
ID0005,Becky,2021-01-01,10:00:29,Payment related,Y,Y,95.0,60.0,6.0,,,,,-100
ID0007,Diane,2021-01-01,10:22:05,Payment related,Y,Y,24.0,220.0,4.0,,,,,-100
ID0008,Diane,2021-01-01,10:22:05,Payment related,Y,Y,22.0,38.0,8.0,,,,,0
ID0009,Greg,2021-01-01,11:13:55,Admin Support,Y,Y,15.0,398.0,8.0,,,,,0
ID0010,Jim,2021-01-01,11:13:55,Streaming,Y,Y,78.0,64.0,6.0,,,,,-100
ID0012,Greg,2021-01-01,11:15:22,Payment related,Y,Y,50.0,32.0,8.0,,,,,0
ID0013,Joe,2021-01-01,11:52:48,Payment related,Y,Y,84.0,214.0,6.0,,,,,-100
ID0014,Martha,2021-01-01,11:52:48,Contract related,Y,Y,89.0,344.0,6.0,,,,,-100
ID0015,Becky,2021-01-01,11:55:41,Admin Support,Y,Y,48.0,227.0,8.0,,,,,0
ID0016,Becky,2021-01-01,11:55:41,Admin Support,Y,Y,63.0,326.0,4.0,,,,,-100
ID0017,Greg,2021-01-01,11:57:07,Technical Support,Y,Y,45.0,332.0,10.0,,,,,100
ID0020,Jim,2021-01-01,12:01:26,Contract related,Y,Y,101.0,147.0,6.0,,,,,-100
ID0021,Jim,2021-01-01,12:02:53,Technical Support,Y,Y,74.0,322.0,10.0,,,,,100
ID0022,Dan,2021-01-01,12:02:53,Admin Support,Y,Y,89.0,350.0,10.0,,,,,100
ID0024,Joe,2021-01-01,12:02:53,Technical Support,Y,Y,68.0,325.0,4.0,,,,,-100
ID0025,Diane,2021-01-01,12:30:14,Streaming,Y,Y,97.0,249.0,6.0,,,,,-100
ID0027,Joe,2021-01-01,12:40:19,Streaming,Y,Y,39.0,240.0,6.0,,,,,-100
ID0028,Martha,2021-01-01,12:40:19,Contract related,Y,Y,51.0,154.0,8.0,,,,,0
ID0029,Joe,2021-01-01,12:40:19,Technical Support,Y,Y,106.0,129.0,8.0,,,,,0
ID0030,Stewart,2021-01-01,12:40:19,Streaming,Y,Y,107.0,355.0,6.0,,,,,-100
ID0031,Joe,2021-01-01,13:24:58,Admin Support,Y,Y,22.0,308.0,6.0,,,,,-100
ID0032,Joe,2021-01-01,13:24:58,Streaming,Y,Y,122.0,128.0,8.0,,,,,0
ID0033,Diane,2021-01-01,13:33:36,Technical Support,Y,Y,57.0,409.0,6.0,,,,,-100
ID0034,Jim,2021-01-01,13:33:36,Payment related,Y,N,53.0,104.0,4.0,,,,,-100
ID0035,Becky,2021-01-01,13:42:14,Streaming,Y,Y,119.0,91.0,10.0,,,,,100
ID0037,Martha,2021-01-01,13:42:14,Technical Support,Y,N,20.0,72.0,4.0,,,,,-100
ID0038,Joe,2021-01-01,13:42:14,Technical Support,Y,Y,52.0,36.0,6.0,,,,,-100
ID0039,Stewart,2021-01-01,14:38:24,Contract related,Y,Y,74.0,401.0,2.0,,,,,-100
ID0040,Greg,2021-01-01,14:38:24,Technical Support,Y,Y,49.0,149.0,6.0,,,,,-100
ID0041,Jim,2021-01-01,14:47:02,Technical Support,Y,Y,27.0,129.0,10.0,,,,,100
ID0042,Greg,2021-01-01,14:47:02,Contract related,Y,Y,100.0,294.0,10.0,,,,,100
ID0043,Diane,2021-01-01,14:47:02,Technical Support,Y,Y,45.0,381.0,6.0,,,,,-100
ID0044,Becky,2021-01-01,14:47:02,Payment related,Y,Y,98.0,194.0,10.0,,,,,100
ID0045,Diane,2021-01-01,15:44:38,Admin Support,Y,Y,25.0,313.0,10.0,,,,,100
ID0047,Dan,2021-01-01,17:13:55,Admin Support,Y,Y,107.0,142.0,6.0,,,,,-100
ID0049,Joe,2021-01-01,17:25:26,Technical Support,Y,Y,104.0,215.0,10.0,,,,,100
ID0053,Stewart,2021-01-01,17:36:58,Payment related,Y,Y,13.0,75.0,10.0,,,,,100
ID0054,Dan,2021-01-01,17:36:58,Payment related,Y,Y,119.0,152.0,10.0,,,,,100
ID0055,Becky,2021-01-01,17:44:10,Streaming,Y,Y,35.0,79.0,6.0,,,,,-100
